"Alabama","John","0.603169130291706"
"Alabama","Barack","0.38740434294574916"
"Alabama","Ralph","0.0032326595768492426"
"Alabama","Bob","0.0023768715303557116"
"Alabama","Chuck","0.0020525578633206003"
"Alaska","John","0.5942451953880631"
"Alaska","Barack","0.37889373599389325"
"Alaska","Ralph","0.011597286302449133"
"Alaska","Chuck","0.005088949315904193"
"Alaska","Bob","0.0048712894355251585"
"Arizona","John","0.5363524782262724"
"Arizona","Barack","0.4511525087476428"
"Arizona","Bob","0.005474225792738094"
"Arizona","Ralph","0.004927457242830203"
"Arizona","Chuck","0.0005977828404495362"
"Arkansas","John","0.5871590449992959"
"Arkansas","Barack","0.3886465976512423"
"Arkansas","Ralph","0.011855143072490124"
"Arkansas","Bob","0.004395292913694521"
"Arkansas","Chuck","0.0037023164555680613"
"Arkansas","Gloria","0.001048207418069108"
"California","Barack","0.6101263834713425"
"California","John","0.36954858832464477"
"California","Ralph","0.007991579350975896"
"California","Bob","0.0049832250643346435"
"California","Ron","0.0012539540919782627"
"California","Chuck","0.00023189966007712784"
"Colorado","Barack","0.5366035356795152"
"Colorado","John","0.44707307465202445"
"Colorado","Ralph","0.005559946399318415"
"Colorado","Bob","0.004538068893032661"
"Colorado","Chuck","0.0025955022398855363"
"Colorado","Gloria","6.57932542759369e-05"
"Connecticut","Barack","0.6058864571650301"
"Connecticut","John","0.3822134725773729"
"Connecticut","Ralph","0.011635921124461606"
"Connecticut","Chuck","0.0001888514492071579"
"Delaware","Barack","0.6194266898150393"
"Delaware","John","0.36947033548975294"
"Delaware","Ralph","0.005821848054857763"
"Delaware","Bob","0.002689058514301233"
"Delaware","Chuck","0.0015178995761520033"
"District of Columbia","Barack","0.9245710975614343"
"District of Columbia","John","0.06532557465968035"
"District of Columbia","Ralph","0.00360349516462105"
"Florida","Barack","0.5103330527066491"
"Florida","John","0.4821531916597622"
"Florida","Ralph","0.0033517885899033506"
"Florida","Bob","0.0020520230387198082"
"Florida","Chuck","0.0009433013329926404"
"Florida","Gloria","0.00018067527742474327"
"Georgia","John","0.5220451799292952"
"Georgia","Barack","0.46990179096065066"
"Georgia","Bob","0.00732095871918004"
"Georgia","Chuck","0.00035724423529603623"
"Georgia","Ralph","0.00029507048821170466"
"Hawaii","Barack","0.7184611789191477"
"Hawaii","John","0.2658168124735431"
"Hawaii","Ralph","0.008433134612671088"
"Hawaii","Bob","0.0028970297728234794"
"Hawaii","Chuck","0.002233402709185833"
"Idaho","John","0.6151709147303861"
"Idaho","Barack","0.3609098763283785"
"Idaho","Ralph","0.01095215852925104"
"Idaho","Chuck","0.007245978611617378"
"Idaho","Bob","0.005583692808362412"
"Illinois","Barack","0.6191811452001323"
"Illinois","John","0.36780922542147204"
"Illinois","Ralph","0.0056041146094675635"
"Illinois","Bob","0.0035568055822399474"
"Illinois","Ron","1.810816404765272e-07"
"Indiana","Barack","0.4994591163968428"
"Indiana","John","0.4891390717884854"
"Indiana","Bob","0.010634833049442141"
"Indiana","Chuck","0.0003722209742157006"
"Indiana","Ralph","0.0003304188140254608"
"Iowa","Barack","0.5392802007386527"
"Iowa","John","0.4439325935530208"
"Iowa","Ralph","0.005213636124109782"
"Iowa","Bob","0.0029860980546124157"
"Iowa","Chuck","0.002891765980991762"
"Iowa","Gloria","7.871848902137305e-05"
"Kansas","John","0.5661225434349189"
"Kansas","Barack","0.41651967194013617"
"Kansas","Ralph","0.00851787240102535"
"Kansas","Bob","0.005426128272183527"
"Kansas","Chuck","0.0033563346365966702"
"Kentucky","John","0.5739902114287592"
"Kentucky","Barack","0.4116811378392879"
"Kentucky","Ralph","0.008418828218239152"
"Kentucky","Bob","0.003278733398298497"
"Kentucky","Chuck","0.002569773680349498"
"Louisiana","John","0.5856272131075638"
"Louisiana","Barack","0.3993291380234511"
"Louisiana","Ralph","0.0035685124296127883"
"Louisiana","Chuck","0.0013163256511119917"
"Louisiana","Gloria","0.0001805421466461236"
"Maine","Barack","0.5770573729797597"
"Maine","John","0.40384018337908234"
"Maine","Ralph","0.014546687947831058"
"Maine","Bob","0.00034328870580157915"
"Maine","Chuck","0.00024208008337402195"
"Maryland","Barack","0.6191934476264593"
"Maryland","John","0.364745196451127"
"Maryland","Ralph","0.0055909037709435646"
"Maryland","Bob","0.0037399357652162413"
"Maryland","Chuck","0.0014287907414359956"
"Massachusetts","Barack","0.6180156670675125"
"Massachusetts","John","0.3599024337995803"
"Massachusetts","Ralph","0.009360967352973155"
"Massachusetts","Bob","0.004280773843429942"
"Massachusetts","Chuck","0.0016134450508522437"
"Michigan","Barack","0.5743129526651187"
"Michigan","John","0.4095831352366344"
"Michigan","Ralph","0.0066146637007808845"
"Michigan","Bob","0.004741525293266418"
"Michigan","Chuck","0.002935963017862091"
"Minnesota","Barack","0.5406029269827984"
"Minnesota","John","0.43822931044139074"
"Minnesota","Ralph","0.010360198311623027"
"Minnesota","Bob","0.003152177610467951"
"Minnesota","Chuck","0.0023320066974325247"
"Mississippi","John","0.5617618898101739"
"Mississippi","Barack","0.43001554426238403"
"Mississippi","Ralph","0.0031096277517414614"
"Mississippi","Chuck","0.0019777263512072967"
"Mississippi","Bob","0.001960670302706097"
"Missouri","John","0.49426074411878823"
"Missouri","Barack","0.49292647865705136"
"Missouri","Ralph","0.006089487745303321"
"Missouri","Bob","0.0038923767735936456"
"Missouri","Chuck","0.0028035641946461873"
"Montana","John","0.49512953241063673"
"Montana","Barack","0.47249858250629206"
"Montana","Ron","0.021696831748595765"
"Montana","Ralph","0.007517815550415866"
