"STATE","FIRST NAME","GENERAL %"
"Maine","David",0.0039635397541957365
"Maine","Michael",0.002652709678812882
"Maine","Michael",0.000992234918029246
"Maine","",""
"Maryland","John F.",0.5591424565861
"Maryland","George W.",0.4293427936236057
"Maryland","Ralph",0.004966736191476186
"Maryland","Michael",0.002553339830509185
"Maryland","David",0.0015217804831653035
"Maryland","Michael Anthony",0.0014333730817479358
"Maryland","Joe",1.1312795442032818e-05
"Maryland","John Joseph",2.932946966452953e-06
"Maryland","Theodis (Ted), Sr.",1.675969695115973e-06
"Maryland","Lawson Mitchell",8.379848475579865e-07
"Maryland","Robert Abraham, II",4.1899242377899325e-07
"Massachusetts","John F.",0.619354289332328
"Massachusetts","George W.",0.36777688961772953
"Massachusetts","Michael",0.005157966589616494
"Massachusetts","David",0.0036475222394818274
"Massachusetts","Ralph",0.0016501922134001376
"Michigan","John F.",0.5123070672905647
"Michigan","George W.",0.4781205855781017
"Michigan","Ralph",0.00496667666821236
"Michigan","Michael",0.002180502275971576
"Michigan","David",0.0011003766697828508
"Michigan","Michael Anthony",0.0010290846601912857
"Michigan","Walter",0.00029570685717544777
"Minnesota","John F.",0.5108968468600654
"Minnesota","George W.",0.47613533791521456
"Minnesota","Ralph",0.006605531704112627
"Minnesota","Michael",0.0016401574466294747
"Minnesota","David",0.0015584854547839458
"Minnesota","Michael",0.0010868385408361726
"Minnesota","Thomas J.",0.0008439439157371322
"Minnesota","Bill",0.0001905679809729008
"Minnesota","John Joseph",1.4142336250308037e-06
"Minnesota","Martin",7.071168125154018e-07
"Minnesota","Debra Joyce",7.071168125154018e-07
"Minnesota","Walt",7.071168125154018e-07
"Minnesota","Joy Elaina",3.535584062577009e-07
"Mississippi","George W.",0.5945267305764466
"Mississippi","John F.",0.39760099640236257
"Mississippi","Ralph",0.0027574654231889216
"Mississippi","Michael",0.0015562277317525137
"Mississippi","Michael A.",0.0015267175572519084
"Mississippi","James",0.0011005559196108129
"Mississippi","David",0.0009313063893867526
"Missouri","George W.",0.5329619193926551
"Missouri","John F.",0.46100446516831883
"Missouri","Michael",0.0035993005692393984
"Missouri","Michael A.",0.001960558900241784
"Missouri","Ralph",0.0004737559695448867
"Montana","George W.",0.5906670070707856
"Montana","John",0.3856408662544817
"Montana","Ralph",0.01369312568682081
"Montana","Michael A.",0.00391612738514136
"Montana","Michael",0.003847306552409284
"Montana","David",0.002211146754875734
"Montana","John Joseph",1.3320161173950205e-05
"Montana","Robert Leslie",6.660080586975102e-06
"Montana","Walter Frederick",4.4400537246500685e-06
"Nebraska","George W.",0.6589864119889075
"Nebraska","John F.",0.3268216082016382
"Nebraska","Ralph",0.007322156913642754
"Nebraska","Michael",0.0026227662795270026
"Nebraska","Michael A.",0.0016885423279267425
"Nebraska","David",0.0012567689472696758
"Nebraska","",0.00010537326551749839
"Nevada","George W.",0.504696915453111
"Nevada","John F.",0.4787804051895702
"Nevada","Ralph",0.005831817518837687
"Nevada","Michael",0.003828411004511884
"Nevada","Michael A.",0.0013886427824929754
"Nevada","David",0.001028222476967455
"New Hampshire","John F.",0.5024227651393312
"New Hampshire","George W.",0.4887390112403318
"New Hampshire","Ralph",0.006608748513437346
"New Hampshire","Michael",0.0005488846722479778
"New Hampshire","John",0.0005267522257863659
"New Hampshire","Michael A.",0.00023755492535463556
"New Hampshire","Howard",6.197085009251363e-05
"New Hampshire","Wesley",2.0656950030837876e-05
"New Hampshire","Wesley",2.0656950030837876e-05
"New Hampshire","Dennis",1.1803971446193072e-05
"New Hampshire","John",7.3774821538706694e-06
"New Jersey","John F.",0.5292340900702746
"New Jersey","George W.",0.4623881168128724
"New Jersey","Ralph",0.00537642893591949
"New Jersey","Michael",0.0012498300657503645
"New Jersey","Michael A.",0.0007614161898124729
"New Jersey","David",0.000500319656360414
"New Jersey","Walter",0.00018384740001290255
"New Jersey","Bill",0.00015920520332442616
"New Jersey","",""
"New Mexico","George W.",0.498384247604138
"New Mexico","John F.",0.490466796420487
"New Mexico","Ralph",0.005358956186930123
"New Mexico","Michael",0.0031495271742579705
"New Mexico","David",0.0016210412744081745
"New Mexico","Michael",0.0010194313397787133
"New York","John F.",0.5837178982756951
"New York","John F.",0.5656520953219548
"New York","John F.",0.01806580295374018
"New York","George W.",0.40083244081073344
"New York","George W.",0.37978342954898336
"New York","George W.",0.021049011261750045
"New York","Ralph",0.013512720002987403
"New York","Ralph",0.011398537363368275
"New York","Ralph",0.0021141826396191277
"New York","Michael",0.0015704158388621027
"New York","Michael A.",2.8006899168127446e-05
"New York","David",1.177101559240139e-05
"New York","John Joseph",5.411961191908685e-07
"New York","Michael",5.411961191908685e-07
"New York","Bill",2.7059805959543425e-07
"North Carolina","George W.",0.5601719733779452
"North Carolina","John F.",0.435831462205017
"North Carolina","Michael",0.0033507502270061157
"North Carolina","Ralph",0.0005155659500252356
"North Carolina","Walt",9.939997263644431e-05
"North Carolina","David",3.084826736993099e-05
"North Dakota","George W.",0.6286133496146507
"North Dakota","John F.",0.3549881246543683
"North Dakota","Ralph",0.012006405973794324
"North Dakota","Michael",0.002720301246991206
"North Dakota","Michael A.",0.0016430491668078496
"North Dakota","Martin",2.8769343387686082e-05
"Ohio","George W.",0.5081405026521401
"Ohio","John F.",0.48706677507876817
"Ohio","Michael",0.0026077185341338203
"Ohio","Michael Anthony",0.0021213921762758027
"Ohio","David Keith",3.4115696276484976e-05
"Ohio","Joe",2.0256194664162953e-05
"Ohio","James",3.909090198347237e-06
"Ohio","Richard A.",3.020660607813774e-06
"Ohio","Thomas F.",1.9545450991736184e-06
"Ohio","John T.",3.5537183621338515e-07
"Oklahoma","George W.",0.6557040166475606
"Oklahoma","John F.",0.3442959833524394
"Oregon","John F.",0.5134866304221187
"Oregon","George W.",0.47192916742433233
"Oregon","Michael",0.003952564866162669
"Oregon","David",0.0028936476947182626
"Oregon","Michael Anthony",0.002862070730222748
"Pennsylvania","John F.",0.5092380914415062
"Pennsylvania","George W.",0.484236661530542
"Pennsylvania","Michael",0.0036718380335517774
"Pennsylvania","David K.",0.0010952251373147833
"Pennsylvania","Michael Anthony",0.0010950518147736668
"Pennsylvania","Ralph",0.00046034466920526413
"Pennsylvania","",""
"Rhode Island","John F.",0.5942342622628302
"Rhode Island","George W.",0.3867143713369356
"Rhode Island","Ralph",0.010639758060457433
"Rhode Island","David",0.00304940819062347
"Rhode Island","Michael",0.0020748786413319485
"Rhode Island","Michael A.",0.0007755059089432531
"Rhode Island","John",0.0006496863661943478
"Rhode Island","John",0.0005787698966449647
"Rhode Island","Colin",8.006698174930342e-05
"Rhode Island","Lincoln",2.7451536599761172e-05
"Rhode Island","Howard",2.7451536599761172e-05
"Rhode Island","Patrick",2.2876280499800978e-05
"Rhode Island","Ralph",2.2876280499800978e-05
"Rhode Island","George, Sr.",2.058865244982088e-05
"Rhode Island","Rudy",2.058865244982088e-05
"Rhode Island","Hillary",1.830102439984078e-05
"Rhode Island","Dennis J.",1.830102439984078e-05
"Rhode Island","Bill",1.6013396349860685e-05
"Rhode Island","Joseph",1.3725768299880586e-05
"Rhode Island","Mickey",1.3725768299880586e-05
"Rhode Island","Curt",1.3725768299880586e-05
"Rhode Island","John F.",1.1438140249900489e-05
"Rhode Island","",""
"South Carolina","George W.",0.5798087443516532
"South Carolina","John F.",0.4090293188603784
"South Carolina","Ralph",0.003412188684143831
"South Carolina","Michael",0.0032867042089841938
"South Carolina","Michael",0.002230285647172272
"South Carolina","Walter F. ""Walt""",0.001312950863246648
"South Carolina","David",0.0009198073844213806
"South Dakota","George W.",0.5991113171824891
"South Dakota","John F.",0.38443645917854796
"South Dakota","Ralph",0.011127854410571462
"South Dakota","Michael A.",0.0028412091238102597
"South Dakota","Michael",0.002483160104581224
"Tennessee","George W.",0.5679908949136325
"Tennessee","John F.",0.4252529110879618
"Tennessee","Ralph",0.0036892995951699386
"Tennessee","Michael",0.001996455941959177
"Tennessee","Michael Anthony",0.0010544372730857143
"Tennessee","David",1.3539466930672596e-05
"Tennessee","Walt",2.46172126012229e-06
"Texas","George W.",0.6108569088346479
"Texas","John F.",0.38224177935746173
"Texas","Michael",0.005233872616389806
"Texas","Ralph",0.0012359047952539312
"Texas","Michael Anthony",0.00022075993504044455
"Texas","David Keith",0.00013682797929768384
"Texas","Andrew J.",2.9551604996245327e-05
"Texas","John Joseph",1.700229328551101e-05
"Texas","Walt",1.4978210751521604e-05
"Texas","Deborah Elaine",1.2414372875135023e-05
"Utah","George W.",0.7153594785330293
"Utah","John F.",0.25995641508701894
"Utah","Ralph",0.012184160268320967
"Utah","Michael Anthony",0.007373006669224568
"Utah","Michael",0.0036374649186716734
"Utah","Charles",0.0010195679446113786
"Utah","James",0.0004235625816408793
"Utah","David",4.203292794909489e-05
"Utah","Lawrence Rey",2.155534766620251e-06
"Utah","Joe",1.0777673833101255e-06
"Utah","John Joseph",1.0777673833101255e-06
"Vermont","John F.",0.5893746257712714
"Vermont","George W.",0.38801315363950445
"Vermont","Ralph",0.014389594920415357
"Vermont","Michael",0.003528556653826819
"Vermont","John Thompson",0.0008485186145772296
"Vermont","",""
"Virginia","George W.",0.5368236353113949
"Virginia","John F.",0.4548389850195428
"Virginia","Michael",0.0034492602005961165
