"STATE","FIRST NAME","GENERAL %"
"Alabama","Mitt",0.6054582232982282
"Alabama","Barack",0.3835903309875247
"Alabama","Gary",0.005943100883269747
"Alabama","Jill",0.0016376308971826192
"Alabama","Virgil H., Jr.",0.0014370849880781242
"Alaska","Mitt",0.5480157739729447
"Alaska","Barack",0.40812659112464433
"Alaska","Gary",0.02459941097189637
"Alaska","Jill",0.009707316261501855
"Alaska","",""
"Arizona","Mitt",0.536545331659747
"Arizona","Barack",0.44589766941799386
"Arizona","Gary",0.013961049975339828
"Arizona","Jill",0.0033993634457089123
"Arizona","Virgil",0.00012569294214558288
"Arizona","Ross C. ""Rocky""",5.1755917354063536e-05
"Arizona","Jill",7.393702479151933e-06
"Arizona","Will",6.08893145341924e-06
"Arizona","Dennis",3.04446572670962e-06
"Arizona","Sheila ""Samm""",2.609542051465388e-06
"Arkansas","Mitt",0.6056693608410911
"Arkansas","Barack",0.36878990301720105
"Arkansas","Gary",0.015218781674627011
"Arkansas","Jill",0.008700587581863132
"Arkansas","Peta",0.001621366885217697
"California","Barack",0.6023895914168964
"California","Mitt",0.371203785207048
"California","Gary",0.010984429476689388
"California","Jill",0.006568063143845706
"California","Roseanne",0.004128067337564531
"California","Thomas",0.0029429659608543805
"California","Ron",0.001645965612579377
"California","Ross C. ""Rocky""",7.608209718460194e-05
"California","Virgil",3.8577918229692314e-05
"California","Stewart",6.289044323727176e-06
"California","Jerry",6.058957336273743e-06
"California","James",5.522087698882398e-06
"California","Stephen",4.1415657741617986e-06
"California","Sheila ""Samm""",4.6017397490686655e-07
"Colorado","Barack",0.5149214523168122
"Colorado","Mitt",0.461269839293067
"Colorado","Gary",0.013833312188025634
"Colorado","Jill",0.0029219442370993515
"Colorado","Virgil H., Jr.",0.0024261321755563877
"Colorado","Roseanne",0.001968848680805224
"Colorado","Jill",0.001007580398221926
"Colorado","Ross C. ""Rocky""",0.0004903635773501842
"Colorado","Sheila 'Samm'",0.0003082285343344015
"Colorado","Tom",0.0002642514833498215
"Colorado","Gloria",0.0001233692492222289
"Colorado","Stewart",0.00011986665224115614
"Colorado","Merlin",0.00010352119966281666
"Colorado","Thomas Robert",9.145669895023276e-05
"Colorado","James",7.472206892955188e-05
"Colorado","Jerry",7.355453660252762e-05
"Colorado","Randall",1.5567097693656642e-06
"Connecticut","Barack",0.5805684558936727
"Connecticut","Mitt",0.40725355365115207
"Connecticut","Gary",0.008069482218915174
"Connecticut","Ross C. ""Rocky""",0.003519654128393288
"Connecticut","Jill",0.0005535741776568994
"Connecticut","Tom",1.6036331913583414e-05
"Connecticut","Gerald",1.2187612254323395e-05
"Connecticut","James E.",3.207266382716683e-06
"Connecticut","Raymond",3.207266382716683e-06
"Connecticut","Stephen",6.414532765433366e-07
"Delaware","Barack",0.5860635241990622
"Delaware","Mitt",0.3997960963565511
"Delaware","Gary",0.00937860123066962
"Delaware","Jill",0.004686884695388733
"Delaware","Virgil",5.5566158759763334e-05
"Delaware","Tom",1.691143962253667e-05
"Delaware","Jill",2.415919946076667e-06
"District of Columbia","Barack",0.9091311392818725
"District of Columbia","Mitt",0.07278291417600523
"District of Columbia","Jill",0.008367260794379161
"District of Columbia","Gary",0.007090725888808704
"District of Columbia","",""
"Florida","Barack",0.5000786506869869
"Florida","Mitt",0.49130977761975525
"Florida","Gary",0.00527791541811897
"Florida","Jill",0.0010557954935811482
"Florida","Roseanne",0.0009622171068135332
"Florida","Thomas Robert",0.00045502933086497227
